名古屋市守山区,月,13:00 - 15:00,守山会館太極拳同好会,守山会館,24式太・総合太,福安 勝子
安城市,月,13:00 - 14:30,ぷらざ三河安城,ぷらざ三河安城,24式太,築山 光子
