月,13:00 - 14:45,太極拳,中村 和子/渡辺 こずえ,太極拳の基礎を活かしながら、主に「32式太極剣・42式太極剣」を練習しています。 剣の基礎技術も同時に学ぶことで、剣の理解が深まり、その楽しさが実感できます。,渡辺 こずえ
月,19:00 - 20:30,陳式太極拳,丁 傑/高見 一枝,陳式太極拳は、太極拳の中でも最も古い伝統太極拳です。中国河南省武術隊コーチで、中国のトップ選手であった「丁傑老師」が指導。内容は「陳式老架一路」です。,高見 一枝
月,19:00 - 20:45,長拳＜上級1＞※,中村 剛,水曜の長拳＜初級＞、又は土曜の＜ジュニア長拳＞からの昇級者対象で、長拳のほか武器種目も練習しています。 ※「長拳＜上級1~3＞」の中から各自週1~3回のペースで選択して練習しています。※週次の受講回数によって月謝の割引がございます。(週2回で1000円、週3回で一般3000円高校生以下2000円),中村 楓
水,19:00 - 20:45,長拳＜初級＞,中村 和子,長拳は、あらゆる中国武術の基本ともいわれている拳術で、筋力・柔軟性・協調性など運動能力全般をバランスよく高められます。主に長拳の基本功と簡単な套路を中心に練習しています。随時、生徒募集中です。,中村 楓
水,19:00 - 20:45,長拳＜上級2＞※,中村 剛,水曜の長拳＜初級＞、又は土曜の＜ジュニア長拳＞からの昇級者対象で、長拳のほか武器種目も練習しています。 ※「長拳＜上級1~3＞」の中から各自週1~3回のペースで選択して練習しています。※週次の受講回数によって月謝の割引がございます。(週2回で1000円、週3回で一般3000円高校生以下2000円),中村 楓
土,18:30 - 20:00,太極拳,高柳 和己,「24式太極拳」を中心として、レベルに合わせた太極拳の指導を行っています。随時生徒募集中です。,池田 紀子
土,18:45 - 20:45,ジュニア長拳,中村 和子/唐沢 匡史,主に小学生対象の長拳教室で、子どもにとっての運動能力を高めることを第一の目的として指導しています。随時、生徒募集中です。,中村 楓
土,18:45 - 20:45,長拳＜上級3＞※,中村 剛,水曜の長拳＜初級＞、又は土曜の＜ジュニア長拳＞からの昇級者対象で、長拳のほか武器種目も練習しています。 ※「長拳＜上級1~3＞」の中から各自週1~3回のペースで選択して練習しています。※週次の受講回数によって月謝の割引がございます。(週2回で1000円、週3回で一般3000円高校生以下2000円),中村 楓
