曜日,種目名,開始時間,終了時間,講師,会場,事務担当,説明
月,長拳 [１],19:00,21:00,中村 剛,日本ガイシホール／名古屋市枇杷島スポーツセンター 他,唐沢匡史,水曜日の｢長拳[初級]｣、および土曜日の｢長拳〈ジュニア〉｣からの昇級者対象のクラスです。長拳のほか、個別に南拳や伝統拳、武器種目なども練習しています。
水,長拳 [２],19:00,21:00,中村 剛,名古屋市露橋スポーツセンター(剣道場) 他,唐沢匡史,水曜日の｢長拳[初級]｣、および土曜日の｢長拳〈ジュニア〉｣からの昇級者対象のクラスです。長拳のほか、個別に南拳や伝統拳、武器種目なども練習しています。
水,長拳 [初級],19:00,21:00,中村和子,名古屋市露橋スポーツセンター(剣道場) 他,唐沢匡史,長拳はあらゆる武術太極拳の基本ともいわれており、筋力・柔軟性・協調性など運動能力全般をバランスよく高められます。主に長拳の基本功と基礎套路、時期により剣や棍などの武器種目も練習しています。
土,長拳 [３],19:00,21:00,中村 剛,名古屋市露橋スポーツセンター／日本ガイシホール 他,唐沢匡史,水曜日の｢長拳[初級]｣、および土曜日の｢長拳〈ジュニア〉｣からの昇級者対象のクラスです。長拳のほか、個別に南拳や伝統拳、武器種目なども練習しています。
土,長拳 [ジュニアカンフー] ,19:00,21:00,唐沢匡史,名古屋市露橋スポーツセンター／日本ガイシホール 他,唐沢匡史,主に小学生対象のカンフークラスで、子どもにとっての運動能力向上を第一の目的に指導しています。カンフーを通して、筋力・柔軟性・協調性など運動能力全般をバランスよく高めつつ、カンフーの動作を学びます。
